HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions,T1_OffRating,T2_OffRating,T1_DefRating,T2_DefRating,T1_tempo,T2_tempo,T1_fgEff,T2_fgEff,T1_ftRate,T2_ftRate,T1_wab,T2_wab,T1_talent,T2_talent,T1_sos,T2_sos,T1_Threepg,T2_Threepg,T1_FTPG,T2_FTPG,T1_PDiffPG,T2_PDiffPG,T1_effHeight,T2_effHeight,T1_var,T2_var,T1_threesShare,T2_threesShare,T1_recentPom,T2_recentPom,offRatingDiff,defRatingDiff,talentDiff,sosDiff,fgEffDiff,ftRateDiff,wabDiff,threepgDiff,ftpgDiff,pDiffpgDiff,tempoDiff,effHeightDiff,varDiff,threesShareDiff,recentPomDiff,offRating_x_tempo,talent_x_sos,defRating_x_tempo,Seed_Diff,T1_seed,T2_seed,historic_upset
Georgia,1208,8,Akron,1103,12,,16.0,54.0,80.0,113.0,71.4,70.3,54.6018121125417,58.4623065401897,36.9575584167859,29.0564153769346,2.6,-0.2,61.02,12.8,32.391,11.162,9.8125,10.875,18.25,13.6875,10.65625,12.375,81.51,77.931,81.51,77.931,43.9,45.1,-5.0,0.0,-38.0,-33.0,48.22,21.229,-3.8604944276479998,7.901143039851302,2.8000000000000003,-1.0625,4.5625,-1.71875,1.1000000000000085,3.5790000000000077,3.5790000000000077,-1.2000000000000028,-5.0,-41.800000000000324,1023.66238,-36.30000000000028,-4,8,12,0
Gonzaga,1211,3,Akron,1103,12,,29.0,54.0,9.0,113.0,68.6,70.3,56.2619502868069,58.4623065401897,31.1185468451243,29.0564153769346,7.4,-0.2,36.781,12.8,24.986,11.162,6.666666666666667,10.875,13.787878787878787,13.6875,19.12121212121212,12.375,80.557,77.931,80.557,77.931,31.0,45.1,-2.0,0.0,-25.0,-104.0,23.980999999999998,13.824,-2.2003562533828003,2.062131468189701,7.6000000000000005,-4.208333333333333,0.10037878787878718,6.746212121212121,-1.7000000000000028,2.6260000000000048,2.6260000000000048,-14.100000000000001,-2.0,42.50000000000007,331.51334399999996,176.8000000000003,-9,3,12,0
Akron,1103,12,Hawaii,1218,13,,54.0,211.0,113.0,43.0,70.3,69.7,58.4623065401897,51.9759450171821,29.0564153769346,42.4398625429553,-0.2,-3.7,12.8,9.248,11.162,10.053,10.875,7.3,13.6875,18.233333333333334,12.375,8.433333333333334,77.931,81.581,77.931,81.581,45.1,39.7,0.0,12.0,-157.0,70.0,3.5520000000000014,1.109,6.486361523007602,-13.383447166020698,3.5,3.575,-4.545833333333334,3.9416666666666664,0.5999999999999943,-3.6500000000000057,-3.6500000000000057,5.399999999999999,-12.0,-94.19999999999911,3.9391680000000013,41.9999999999996,-1,12,13,0
Akron,1103,12,High Point,1219,12,,54.0,66.0,113.0,161.0,70.3,69.9,58.4623065401897,54.7179757511861,29.0564153769346,42.9098576700053,-0.2,-1.4,12.8,13.909,11.162,5.665,10.875,9.03225806451613,13.6875,19.483870967741936,12.375,14.64516129032258,77.931,79.626,77.931,79.626,45.1,42.9,0.0,-5.0,-12.0,-48.0,-1.109,5.497000000000001,3.744330789003598,-13.853442293070703,1.2,1.84274193548387,-5.796370967741936,-2.27016129032258,0.3999999999999915,-1.6950000000000074,-1.6950000000000074,2.200000000000003,5.0,-4.799999999999898,-6.096173000000001,-19.19999999999959,0,12,12,0
Akron,1103,12,Hofstra,1220,13,,54.0,89.0,113.0,95.0,70.3,64.7,58.4623065401897,51.4721627408994,29.0564153769346,32.4946466809422,-0.2,-4.7,12.8,0.2,11.162,11.966,10.875,9.28125,13.6875,14.40625,12.375,6.9375,77.931,81.178,77.931,81.178,45.1,43.1,0.0,-16.0,-35.0,18.0,12.600000000000001,-0.8039999999999985,6.990143799290301,-3.438231304007605,4.5,1.59375,-0.71875,5.4375,5.599999999999994,-3.247,-3.247,2.0,16.0,-195.9999999999998,-10.130399999999982,100.7999999999999,-1,12,13,0
Houston,1222,2,Akron,1103,12,,14.0,54.0,5.0,113.0,63.3,70.3,52.1210676835081,58.4623065401897,26.930409914204,29.0564153769346,9.0,-0.2,81.968,12.8,36.826,11.162,8.794117647058824,10.875,12.823529411764707,13.6875,14.294117647058824,12.375,80.772,77.931,80.772,77.931,40.8,45.1,0.0,0.0,-40.0,-108.0,69.168,25.664,-6.341238856681599,-2.1260054627305998,9.2,-2.0808823529411757,-0.8639705882352935,1.9191176470588243,-7.0,2.841000000000008,2.841000000000008,-4.300000000000004,0.0,280.0,1775.1275520000004,756.0,-10,2,12,0
Akron,1103,12,Howard,1224,16,,54.0,283.0,113.0,117.0,70.3,69.0,58.4623065401897,50.6161429451633,29.0564153769346,44.177449168207,-0.2,-6.9,12.8,0.2,11.162,8.612,10.875,6.655172413793103,13.6875,18.344827586206897,12.375,7.206896551724138,77.931,78.574,77.931,78.574,45.1,34.3,0.0,-43.0,-229.0,-4.0,12.600000000000001,2.5500000000000007,7.846163595026404,-15.1210337912724,6.7,4.219827586206897,-4.657327586206897,5.168103448275862,1.2999999999999972,-0.6430000000000007,-0.6430000000000007,10.800000000000004,43.0,-297.69999999999936,32.13000000000001,-5.199999999999989,-4,12,16,0
Akron,1103,12,Idaho,1225,15,,54.0,176.0,113.0,136.0,70.3,67.7,58.4623065401897,51.8957345971564,29.0564153769346,34.8077935755661,-0.2,-8.9,12.8,0.2,11.162,11.302,10.875,9.59375,13.6875,15.0625,12.375,2.65625,77.931,80.578,77.931,80.578,45.1,46.8,0.0,-38.0,-122.0,-23.0,12.600000000000001,-0.1399999999999988,6.566571943033303,-5.751378198631503,8.700000000000001,1.28125,-1.375,9.71875,2.5999999999999943,-2.6470000000000056,-2.6470000000000056,-1.6999999999999957,38.0,-317.1999999999993,-1.763999999999985,-59.79999999999987,-3,12,15,0
Illinois,1228,3,Akron,1103,12,,2.0,54.0,28.0,113.0,65.5,70.3,55.0655241935484,58.4623065401897,32.9133064516129,29.0564153769346,6.6,-0.2,63.056,12.8,38.28,11.162,10.90625,10.875,16.09375,13.6875,14.5625,12.375,83.215,77.931,83.215,77.931,50.7,45.1,3.0,0.0,-52.0,-85.0,50.256,27.118000000000002,-3.3967823466413023,3.8568910746782983,6.8,0.03125,2.40625,2.1875,-4.799999999999997,5.284000000000006,5.284000000000006,5.600000000000001,3.0,249.59999999999985,1362.842208,407.9999999999998,-9,3,12,0
Iowa,1234,9,Akron,1103,12,,31.0,54.0,30.0,113.0,63.0,70.3,56.5559932470456,58.4623065401897,34.4963421496905,29.0564153769346,1.9,-0.2,14.299,12.8,35.51,11.162,8.0,10.875,14.303030303030303,13.6875,9.242424242424242,12.375,80.798,77.931,80.798,77.931,41.6,45.1,7.0,0.0,-23.0,-83.0,1.4989999999999988,24.348,-1.9063132931441018,5.4399267727559,2.1,-2.875,0.6155303030303028,-3.132575757575758,-7.299999999999997,2.8670000000000044,2.8670000000000044,-3.5,7.0,167.89999999999992,36.49765199999997,605.8999999999997,-3,9,12,0
Iowa St,1235,2,Akron,1103,12,,21.0,54.0,4.0,113.0,66.5,70.3,56.4697265625,58.4623065401897,33.984375,29.0564153769346,7.4,-0.2,50.469,12.8,35.368,11.162,9.029411764705882,10.875,13.764705882352942,13.6875,16.647058823529413,12.375,81.398,77.931,81.398,77.931,38.8,45.1,0.0,0.0,-33.0,-109.0,37.669,24.206000000000003,-1.9925799776897009,4.9279596230654015,7.6000000000000005,-1.8455882352941178,0.07720588235294201,4.272058823529413,-3.799999999999997,3.4669999999999987,3.4669999999999987,-6.300000000000004,0.0,125.3999999999999,911.815814,414.1999999999997,-10,2,12,0
Kansas,1242,4,Akron,1103,12,,57.0,54.0,10.0,113.0,67.6,70.3,51.5657084188912,58.4623065401897,32.5975359342916,29.0564153769346,6.3,-0.2,57.848,12.8,41.65,11.162,7.363636363636363,10.875,14.757575757575758,13.6875,6.242424242424242,12.375,80.749,77.931,80.749,77.931,35.7,45.1,8.0,0.0,3.0,-103.0,45.048,30.488,-6.896598121298503,3.541120557357001,6.5,-3.5113636363636367,1.0700757575757578,-6.132575757575758,-2.700000000000003,2.817999999999998,2.817999999999998,-9.399999999999999,8.0,-8.100000000000009,1373.423424,278.1000000000003,-8,4,12,0
Akron,1103,12,Kennesaw,1244,14,,54.0,143.0,113.0,194.0,70.3,71.2,58.4623065401897,50.7192328183271,29.0564153769346,45.125199786894,-0.2,-8.0,12.8,13.242,11.162,11.706,10.875,8.774193548387096,13.6875,19.129032258064516,12.375,2.129032258064516,77.931,80.486,77.931,80.486,45.1,42.9,0.0,-5.0,-89.0,-81.0,-0.44200000000000017,-0.5439999999999987,7.743073721862601,-16.068784409959402,7.8,2.100806451612904,-5.441532258064516,10.245967741935484,-0.9000000000000057,-2.555000000000007,-2.555000000000007,2.200000000000003,5.0,80.1000000000005,0.24044799999999952,72.90000000000046,-2,12,14,0
Kentucky,1246,7,Akron,1103,12,,39.0,54.0,27.0,113.0,68.3,70.3,53.1113271754983,58.4623065401897,37.4817695673311,29.0564153769346,3.3,-0.2,85.092,12.8,40.797,11.162,8.088235294117647,10.875,16.5,13.6875,6.9411764705882355,12.375,81.87,77.931,81.87,77.931,39.2,45.1,-3.0,0.0,-15.0,-86.0,72.292,29.634999999999998,-5.350979364691398,8.4253541903965,3.5,-2.7867647058823533,2.8125,-5.4338235294117645,-2.0,3.939000000000007,3.939000000000007,-5.899999999999999,-3.0,30.0,2142.37342,172.0,-5,7,12,0
Akron,1103,12,Lehigh,1250,16,,54.0,290.0,113.0,257.0,70.3,66.9,58.4623065401897,53.2846715328467,29.0564153769346,32.1729365524986,-0.2,-12.0,12.8,0.826,11.162,9.479,10.875,7.75,13.6875,13.0625,12.375,-2.28125,77.931,79.857,77.931,79.857,45.1,38.2,0.0,-23.0,-236.0,-144.0,11.974,1.6830000000000016,5.1776350073429995,-3.1165211755639994,11.8,3.125,0.625,14.65625,3.3999999999999915,-1.926000000000002,-1.926000000000002,6.899999999999999,23.0,-802.399999999998,20.15224200000002,-489.5999999999988,-4,12,16,0
Akron,1103,12,LIU Brooklyn,1254,16,,54.0,239.0,113.0,186.0,70.3,67.8,58.4623065401897,53.2972694487378,29.0564153769346,34.7243688820196,-0.2,-5.8,12.8,0.2,11.162,9.691,10.875,5.970588235294118,13.6875,13.235294117647058,12.375,2.9705882352941178,77.931,78.697,77.931,78.697,45.1,29.0,0.0,10.0,-185.0,-73.0,12.600000000000001,1.471,5.1650370914519,-5.6679535050849985,5.6,4.904411764705882,0.452205882352942,9.404411764705882,2.5,-0.7660000000000053,-0.7660000000000053,16.1,-10.0,-462.5,18.534600000000005,-182.5,-4,12,16,0
Louisville,1257,6,Akron,1103,12,,19.0,54.0,25.0,113.0,69.6,70.3,56.4484126984127,58.4623065401897,33.4821428571429,29.0564153769346,4.0,-0.2,39.12,12.8,35.248,11.162,11.515151515151516,10.875,15.727272727272727,13.6875,12.575757575757576,12.375,81.646,77.931,81.646,77.931,52.8,45.1,0.0,0.0,-35.0,-88.0,26.319999999999997,24.086,-2.013893841776998,4.425727480208298,4.2,0.6401515151515156,2.0397727272727266,0.20075757575757613,-0.7000000000000028,3.7150000000000034,3.7150000000000034,7.699999999999996,0.0,24.5000000000001,633.9435199999999,61.60000000000025,-6,6,12,0
McNeese St,1270,12,Akron,1103,12,,91.0,54.0,49.0,113.0,66.2,70.3,50.9573304157549,58.4623065401897,38.3479212253829,29.0564153769346,0.7,-0.2,48.482,12.8,14.16,11.162,6.548387096774194,10.875,16.741935483870968,13.6875,9.806451612903226,12.375,79.745,77.931,79.745,77.931,35.1,45.1,1.0,0.0,37.0,-64.0,35.682,2.9979999999999993,-7.504976124434798,9.291505848448299,0.8999999999999999,-4.326612903225806,3.054435483870968,-2.568548387096774,-4.099999999999994,1.8140000000000072,1.8140000000000072,-10.0,1.0,-151.6999999999998,106.97463599999999,262.39999999999964,0,12,12,0
Miami FL,1274,7,Akron,1103,12,,33.0,54.0,38.0,113.0,67.6,70.3,55.620253164557,58.4623065401897,37.4683544303797,29.0564153769346,3.8,-0.2,80.783,12.8,29.331,11.162,6.575757575757576,10.875,15.363636363636363,13.6875,10.757575757575758,12.375,81.492,77.931,81.492,77.931,31.7,45.1,-12.0,0.0,-21.0,-75.0,67.983,18.168999999999997,-2.8420533756327018,8.4119390534451,4.0,-4.299242424242424,1.6761363636363633,-1.6174242424242422,-2.700000000000003,3.561000000000007,3.561000000000007,-13.400000000000002,-12.0,56.70000000000006,1235.1831269999998,202.50000000000023,-5,7,12,0
Miami OH,1275,11,Akron,1103,12,,70.0,54.0,156.0,113.0,69.9,70.3,59.1603053435115,58.4623065401897,40.223135642983,29.0564153769346,2.5,-0.2,11.186,12.8,8.266,11.162,9.827586206896552,10.875,17.724137931034484,13.6875,10.862068965517242,12.375,80.117,77.931,80.117,77.931,44.6,45.1,8.0,0.0,16.0,43.0,-1.6140000000000008,-2.896000000000001,0.6979988033218021,11.166720266048404,2.7,-1.0474137931034484,4.036637931034484,-1.512931034482758,-0.3999999999999915,2.186000000000007,2.186000000000007,-0.5,8.0,-6.399999999999864,4.674144000000004,-17.199999999999633,-1,11,12,0
Michigan,1276,1,Akron,1103,12,,8.0,54.0,1.0,113.0,70.9,70.3,58.2492431886983,58.4623065401897,38.5973763874874,29.0564153769346,14.0,-0.2,69.852,12.8,41.856,11.162,9.058823529411764,10.875,16.941176470588236,13.6875,17.61764705882353,12.375,82.701,77.931,82.701,77.931,41.8,45.1,1.0,0.0,-46.0,-112.0,57.05200000000001,30.694000000000003,-0.21306335149139954,9.540961010552802,14.2,-1.8161764705882355,3.2536764705882355,5.242647058823529,0.6000000000000085,4.769999999999996,4.769999999999996,-3.3000000000000043,1.0,-27.600000000000392,1751.1540880000005,-67.20000000000095,-11,1,12,0
Michigan St,1277,3,Akron,1103,12,,24.0,54.0,13.0,113.0,66.0,70.3,53.6019210245464,58.4623065401897,36.179295624333,29.0564153769346,7.4,-0.2,68.794,12.8,37.86,11.162,7.65625,10.875,16.15625,13.6875,10.53125,12.375,81.667,77.931,81.667,77.931,36.4,45.1,0.0,0.0,-30.0,-100.0,55.994,26.698,-4.860385515643301,7.1228802473984025,7.6000000000000005,-3.21875,2.46875,-1.84375,-4.299999999999997,3.736000000000004,3.736000000000004,-8.700000000000003,0.0,128.99999999999991,1494.927812,429.9999999999997,-9,3,12,0
Missouri,1281,10,Akron,1103,12,,50.0,54.0,78.0,113.0,66.2,70.3,55.3483269336259,58.4623065401897,42.4574876577071,29.0564153769346,1.2,-0.2,66.401,12.8,34.025,11.162,7.1875,10.875,16.59375,13.6875,4.3125,12.375,82.794,77.931,82.794,77.931,36.0,45.1,0.0,0.0,-4.0,-35.0,53.601,22.863,-3.1139796065638023,13.4010722807725,1.4,-3.6875,2.90625,-8.0625,-4.099999999999994,4.8629999999999995,4.8629999999999995,-9.100000000000001,0.0,16.399999999999977,1225.4796629999998,143.4999999999998,-2,10,12,0
Akron,1103,12,N Dakota St,1295,14,,54.0,124.0,113.0,124.0,70.3,66.3,58.4623065401897,53.3595800524934,29.0564153769346,30.6561679790026,-0.2,-3.4,12.8,0.2,11.162,8.155,10.875,9.387096774193548,13.6875,13.483870967741936,12.375,8.290322580645162,77.931,79.574,77.931,79.574,45.1,42.7,0.0,-17.0,-70.0,-11.0,12.600000000000001,3.0070000000000014,5.102726487696302,-1.5997526020680013,3.1999999999999997,1.487903225806452,0.20362903225806406,4.084677419354838,4.0,-1.6430000000000007,-1.6430000000000007,2.3999999999999986,17.0,-280.0,37.888200000000026,-44.0,-2,12,14,0
NC State,1301,11,Akron,1103,12,,20.0,54.0,86.0,113.0,69.1,70.3,55.3339980059821,58.4623065401897,35.1944167497508,29.0564153769346,0.34,-0.2,63.205,12.8,32.779,11.162,10.363636363636363,10.875,16.424242424242426,13.6875,7.181818181818182,12.375,79.315,77.931,79.315,77.931,43.9,45.1,10.0,0.0,-34.0,-27.0,50.405,21.617000000000004,-3.128308534207598,6.138001372816202,0.54,-0.5113636363636367,2.7367424242424256,-5.193181818181818,-1.2000000000000028,1.3840000000000003,1.3840000000000003,-1.2000000000000028,10.0,40.8000000000001,1089.6048850000002,32.40000000000008,-1,11,12,0
Nebraska,1304,4,Akron,1103,12,,55.0,54.0,7.0,113.0,66.7,70.3,55.4405520169851,58.4623065401897,27.1762208067941,29.0564153769346,7.5,-0.2,42.458,12.8,35.291,11.162,10.53125,10.875,12.0,13.6875,11.0625,12.375,80.688,77.931,80.688,77.931,50.7,45.1,3.0,0.0,1.0,-106.0,29.657999999999998,24.128999999999998,-3.0217545232045993,-1.8801945701404996,7.7,-0.34375,-1.6875,-1.3125,-3.5999999999999943,2.757000000000005,2.757000000000005,5.600000000000001,3.0,-3.5999999999999943,715.6178819999999,381.5999999999994,-8,4,12,0
North Carolina,1314,6,Akron,1103,12,,32.0,54.0,37.0,113.0,67.9,70.3,54.5646437994723,58.4623065401897,37.4142480211082,29.0564153769346,4.9,-0.2,63.835,12.8,33.421,11.162,8.625,10.875,15.15625,13.6875,8.46875,12.375,82.728,77.931,82.728,77.931,42.3,45.1,2.0,0.0,-22.0,-76.0,51.035,22.259,-3.8976627407174007,8.357832644173602,5.1000000000000005,-2.25,1.46875,-3.90625,-2.3999999999999915,4.796999999999997,4.796999999999997,-2.8000000000000043,2.0,52.79999999999981,1135.988065,182.39999999999935,-6,6,12,0
Akron,1103,12,Northern Iowa,1320,12,,54.0,153.0,113.0,24.0,70.3,62.3,58.4623065401897,54.1666666666667,29.0564153769346,25.6989247311828,-0.2,-5.3,12.8,19.874,11.162,14.539,10.875,7.5588235294117645,13.6875,9.794117647058824,12.375,7.0,77.931,79.727,77.931,79.727,45.1,39.6,0.0,-36.0,-99.0,89.0,-7.073999999999998,-3.376999999999999,4.295639873523001,3.357490645751799,5.1,3.3161764705882355,3.8933823529411757,5.375,8.0,-1.7960000000000065,-1.7960000000000065,5.5,36.0,-792.0,23.888897999999987,712.0,0,12,12,0
Ohio St,1326,8,Akron,1103,12,,17.0,54.0,54.0,113.0,66.1,70.3,56.5135135135135,58.4623065401897,37.7837837837838,29.0564153769346,2.9,-0.2,68.946,12.8,37.869,11.162,8.090909090909092,10.875,16.424242424242426,13.6875,7.0,12.375,81.619,77.931,81.619,77.931,40.1,45.1,-16.0,0.0,-37.0,-59.0,56.146,26.707,-1.9487930266761992,8.727368406849198,3.1,-2.7840909090909083,2.7367424242424256,-5.375,-4.200000000000003,3.6880000000000024,3.6880000000000024,-5.0,-16.0,155.4000000000001,1499.491222,247.80000000000018,-4,8,12,0
Akron,1103,12,Penn,1335,14,,54.0,204.0,113.0,111.0,70.3,69.0,58.4623065401897,50.0934579439252,29.0564153769346,35.5763239875389,-0.2,-6.0,12.8,17.192,11.162,12.952,10.875,8.071428571428571,13.6875,14.571428571428571,12.375,1.2142857142857142,77.931,80.753,77.931,80.753,45.1,35.0,0.0,-21.0,-150.0,2.0,-4.3919999999999995,-1.7899999999999991,8.368848596264499,-6.5199086106043005,5.8,2.803571428571429,-0.8839285714285712,11.160714285714286,1.2999999999999972,-2.8220000000000027,-2.8220000000000027,10.100000000000001,21.0,-194.99999999999957,7.861679999999995,2.5999999999999943,-2,12,14,0
Akron,1103,12,Prairie View,1341,16,,54.0,310.0,113.0,232.0,70.3,70.9,58.4623065401897,47.875816993464,29.0564153769346,42.755991285403,-0.2,-12.6,12.8,0.231,11.162,10.925,10.875,6.064516129032258,13.6875,19.032258064516128,12.375,-2.806451612903226,77.931,79.342,77.931,79.342,45.1,30.9,0.0,-34.0,-256.0,-119.0,12.569,0.2370000000000001,10.586489546725701,-13.6995759084684,12.4,4.810483870967742,-5.344758064516128,15.181451612903226,-0.6000000000000085,-1.4110000000000014,-1.4110000000000014,14.200000000000003,34.0,153.60000000000218,2.9788530000000013,71.40000000000101,-4,12,16,0
Purdue,1345,2,Akron,1103,12,,1.0,54.0,36.0,113.0,64.4,70.3,57.6583210603829,58.4623065401897,28.325969563083,29.0564153769346,9.2,-0.2,59.3,12.8,41.305,11.162,9.285714285714286,10.875,12.714285714285714,13.6875,11.514285714285714,12.375,82.136,77.931,82.136,77.931,40.9,45.1,-2.0,0.0,-53.0,-77.0,46.5,30.143,-0.8039854798067978,-0.730445813851599,9.399999999999999,-1.5892857142857135,-0.9732142857142865,-0.8607142857142858,-5.8999999999999915,4.204999999999998,4.204999999999998,-4.200000000000003,-2.0,312.69999999999953,1401.6495,454.29999999999933,-10,2,12,0
